Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ankrd6,49.27852806,-0.221916816,0.314734363,-0.705092429,0.480752718,0.828282373
ccdc109b,102.0238356,-0.117308296,0.365722971,-0.320757254,0.748394356,0.935834781
gfer,193.579933,0.649131706,0.322651458,2.011866643,0.044233997,0.355331615
nptxr,68.54425429,1.628205112,0.603480183,2.698025815,0.006975203,0.165093209
nup155,286.5515847,0.639217943,0.424416315,1.506110675,0.132038765,0.54334821
LOC107396862,2.113591539,-1.670869786,1.205466592,-1.386077223,0.165723325,NA
LOC107384523,19.92418941,-0.805887516,0.781317183,-1.031447322,0.302331099,0.710369995
LOC107373653,36.17078084,0.001080388,0.433159407,0.002494204,0.998009915,0.999785621
mtfp1,367.848507,0.333077255,0.247391991,1.346354234,0.178188303,0.599656026
crtap,47.88014745,-0.01552064,0.343318439,-0.045207709,0.96394175,0.995174419
pola2,136.6638406,0.29960036,0.74479962,0.402256328,0.687495391,0.915731374
ece1,1163.250457,-0.405384827,0.380847767,-1.064427474,0.287135093,0.698229809
derl2,516.7508029,1.059821886,0.27707027,3.825101428,0.000130718,0.018834896
nog,1.69779545,-1.105359778,1.196030012,-0.92419067,0.355387053,NA
LOC107379789,44.76782098,-0.142099626,0.411062734,-0.345688417,0.72957689,0.930591259
LOC107390367,4.428040171,-1.132312807,0.937176292,-1.208217511,0.226963608,NA
mtap,344.000922,-0.3588886,0.249118967,-1.440631374,0.149688852,0.566598353
LOC107383345,423.7140234,0.032813626,0.190933984,0.17185849,0.863548781,0.968566219
LOC107392205,1192.605097,0.082471412,0.29918253,0.275655841,0.782812415,0.947121866
ythdf1,740.0747017,-0.173018884,0.26917648,-0.642771181,0.520372586,0.849834966
mvk,159.6898736,0.162095621,0.651999907,0.248612951,0.803660189,0.953961719
LOC107375145,86.62986186,0.057359917,0.332115814,0.172710588,0.862878921,0.968336924
LOC107380274,708.5516068,-0.360302437,0.59244342,-0.608163455,0.54307907,0.860140505
galnt7,538.276962,0.383828065,0.246017244,1.560167325,0.118720345,0.526772206
LOC107377959,61.62322268,0.60995208,0.379550507,1.607037977,0.108046038,0.508048861
LOC107374234,1.966074508,1.231525191,1.182963393,1.041050973,0.297851892,NA
scml2,202.9386062,-0.156176378,0.377580955,-0.413623558,0.679149818,0.912085267
LOC107385240,140.7244419,-0.134092518,0.321421179,-0.417186316,0.676542133,0.911041243
haus4,28.77102303,0.088263272,0.838406271,0.105275061,0.916157551,0.98268277
LOC107389541,44.69225246,-0.607638593,0.67547345,-0.899574355,0.36834681,0.757254655
LOC107396458,250.0373973,0.086498206,0.317278331,0.272625633,0.785141006,0.947121866
LOC107373160,11.02797083,-0.202243006,0.772997749,-0.261634663,0.793603117,0.950125715
LOC107375132,5.46204273,0.912679012,0.994807564,0.917442775,0.358910666,NA
LOC107396915,5.345605191,-0.473288008,0.879091885,-0.538382865,0.590312753,NA
abtb2,165.9957767,-0.54936027,0.316435653,-1.736088411,0.082548203,0.451978929
eif3j,1469.886381,0.050862607,0.351874773,0.144547467,0.885068177,0.97543082
tmem175,66.67434451,0.171776334,0.346241118,0.496117661,0.619811399,0.891734316
LOC107397381,833.8909047,-0.214743163,0.200669193,-1.070135178,0.284558467,0.69642758
klhl22,53.41859628,0.798104795,0.935640725,0.85300348,0.393657374,0.775173298
usp5,1999.883703,0.732090013,0.323182358,2.265253636,0.023497119,0.277671715
xdh,4147.723956,-0.699141769,0.294714181,-2.372270541,0.01767914,0.245920816
ksr2,1.377923254,0.478691579,1.214338747,0.394199378,0.693433845,NA
LOC107376652,717.7163429,-0.720263569,0.573292066,-1.256364097,0.208983992,0.631560573
nploc4,1010.591631,0.760919105,0.341862355,2.225805486,0.026027213,0.288088278
fbxo3,376.3297342,-0.223992071,0.247153196,-0.906288387,0.364783231,0.75503142
LOC107373850,5.117534913,-0.279461873,0.899280955,-0.310761472,0.755981961,NA
LOC107386903,3541.801941,-0.17136614,0.193188816,-0.887039652,0.375057552,0.762211575
LOC107395853,2.165627072,-1.052191777,1.154758873,-0.911178777,0.362201184,NA
LOC107379473,6.409483718,1.322291982,0.8110666,1.630312458,0.103035476,0.498441294
fam69a,1.377838975,-0.819488427,1.227341459,-0.667693918,0.504328993,NA
tnfrsf11a,2.34679854,-1.529006434,1.043626065,-1.465090309,0.14289628,NA
LOC107376507,758.2395828,-0.860710903,0.249987843,-3.443011038,0.000575276,0.045871266
slc25a14,21.95739361,-0.048318628,0.628793767,-0.076843363,0.938748154,0.9892148
cfap52,4.035754217,-2.078914489,1.082980364,-1.919623438,0.054905481,NA
stac3,2.367635705,-0.575060406,1.020245546,-0.563649024,0.572993016,NA
LOC107391997,66.56924598,0.244340253,0.427471695,0.571593993,0.567597066,0.870608778
zfyve27,869.6740965,-0.037593228,0.20094591,-0.187081329,0.851596867,0.965349519
caln1,17.66014152,0.252225526,0.676708662,0.37272395,0.709353909,0.924970018
LOC107386980,1.89088503,-1.107293655,1.216943256,-0.909897523,0.362876556,NA
top1,303.2445715,-0.05286193,0.284483608,-0.18581714,0.852588163,0.965436581
blm,152.6784393,0.097052843,0.458707073,0.211579129,0.832435393,0.960697337
usf3,27.76924129,0.004876858,0.511158479,0.009540795,0.992387662,0.998765022
LOC107396419,173.0254653,-0.303613017,0.375618287,-0.808302013,0.418916744,0.792727673
LOC107393697,7.011756178,0.031141503,0.987731264,0.031528316,0.97484821,0.996196137
LOC107388425,182.6455925,0.027107389,0.603750578,0.044898325,0.964188352,0.995174419
LOC107397091,132.487501,-0.451595693,0.547025452,-0.825547864,0.409060621,0.78480295
pip5kl1,1.388246991,-0.146144597,1.279959755,-0.114179056,0.909095854,NA
LOC107393457,6.654321377,0.855786835,0.702887775,1.217529833,0.223402693,0.646244196
ptx3,114.0475899,-0.256190972,1.052625898,-0.243382737,0.807708916,0.955041054
LOC107397256,103.242973,-1.425352,0.729997276,-1.952544272,0.05087362,0.37473098
ttll6,1.354806998,1.046795976,1.193190657,0.877308224,0.380319247,NA
LOC107390058,1.163893041,-0.146524843,1.301345288,-0.1125949,0.910351728,NA
gucy1a2,24.29555725,2.385562557,0.858667693,2.778213943,0.005465862,0.147184006
LOC107391206,697.9587492,-0.698137683,0.606053082,-1.151941478,0.249345122,0.666347682
LOC107386128,924.6409205,-0.768418393,0.610754631,-1.258145831,0.208339021,0.631397926
LOC107390618,1.104403036,-0.14647236,1.298399918,-0.112809896,0.910181272,NA
LOC107380057,1.557070343,-0.147344126,1.348167405,-0.109292159,0.912970766,NA
LOC107373719,59.18682531,0.344638912,0.369234226,0.933388314,0.350619512,0.747084719
LOC107374900,802.9663217,0.375547726,0.298378685,1.258627863,0.208164778,0.631397926
LOC107377292,52.07021195,-0.017693545,0.432407854,-0.040918648,0.967360751,0.995174419
syngr3,45.3789625,2.17941793,0.898983931,2.424312444,0.015337404,0.230604121
LOC107382367,329.6963702,0.480080796,0.320330975,1.498702388,0.133950857,0.547060362
tmub2,755.352382,-0.232375787,0.226694353,-1.025062086,0.305333893,0.712923175
LOC107381691,24.59981448,-1.095477479,0.639679993,-1.712539851,0.086797227,0.461850098
LOC107392571,153.7615987,-0.503352373,0.290176439,-1.734642466,0.082804153,0.452593729
vps36,601.6565263,0.062230165,0.177560688,0.350472651,0.725984012,0.92983823
fam114a2,1013.602654,0.654622923,0.306792566,2.133763969,0.032862107,0.315456924
ncan,1.465546675,-1.305967011,1.213116566,-1.076538766,0.281686373,NA
LOC107394055,9.801745418,-0.359034969,0.7541168,-0.476099948,0.634003174,0.895072486
nav2,353.9106378,0.030997391,0.453049856,0.068419381,0.945451794,0.990809854
LOC107379506,26.61275878,-0.093172419,0.508988867,-0.183053943,0.854755694,0.965987159
LOC107381696,115.5309384,0.269342157,0.675276637,0.398861951,0.689994926,0.916127319
LOC107395818,1.860229561,-1.110479946,1.246779604,-0.890678627,0.373101604,NA
LOC107395134,252.8069542,-0.508283069,0.467211883,-1.087906981,0.276636174,0.686823729
rhot2,65.48933578,0.227832826,0.279503549,0.815133929,0.414995652,0.789703265
LOC107382723,1.696204748,-0.795353544,1.1153046,-0.713126749,0.475767328,NA
LOC107393310,1266.615652,-0.342258491,0.244800362,-1.398112687,0.162079231,0.582284424
LOC107388367,1842.774799,-0.194306809,0.704761072,-0.275705933,0.782773939,0.947121866
LOC107374384,1.251509009,0.757489344,1.202316295,0.630025017,0.528678216,NA
gngt2,1.186078554,-0.146603795,1.305802235,-0.112271055,0.910608491,NA
atxn2,192.429444,-0.104558675,0.281928917,-0.370868928,0.710735159,0.925057609
phgdh,51.93916401,-0.015789008,0.417407925,-0.037826326,0.969826155,0.995205366
chst8,1.139899192,-0.146425701,1.295763015,-0.113003457,0.910027814,NA
LOC107387835,1.314117882,-0.146577662,1.304296162,-0.112380659,0.91052159,NA
cyr61,55.37601322,0.053571812,0.46271431,0.115777298,0.907829043,0.980618587
col9a3,50.42329972,-0.610066098,0.44855538,-1.360068623,0.173808209,0.59594411
LOC107374166,11.85321182,-1.396599977,0.671265381,-2.080548196,0.03747528,0.332901063
cdkn2c,14.4968005,-2.63727199,0.980952026,-2.688482127,0.007177768,0.16771268
LOC107372832,251.0518799,-0.11694235,0.305049797,-0.383354949,0.701456602,0.92164733
LOC107380714,9293.045042,0.096406565,0.589062457,0.163661025,0.869998002,0.97049828
LOC107394694,1.33512346,0.072345299,1.176453221,0.061494412,0.950965465,NA
