Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107392950,346.5788681,-0.279880419,0.329538309,-0.849310721,0.395708417,0.783582042
LOC107387805,510.6171641,-0.294862546,0.339837893,-0.867656468,0.385582424,0.777148411
LOC107374421,408.6861744,-0.212927273,0.432591053,-0.492213769,0.622568232,0.893196477
tfam,1116.536419,0.198943807,0.228814696,0.869453799,0.384598968,0.776930727
LOC107373561,1929.927911,1.128063599,0.284332141,3.967414989,7.27E-05,0.002581851
rpl13a,5122.094697,-0.52780315,0.225504117,-2.340547737,0.019255477,0.173406862
LOC107392078,69.18080687,-1.562053727,0.601078984,-2.59874953,0.009356402,0.106968222
polr3gl,161.7229903,-0.150754701,0.32914327,-0.45802152,0.646936981,0.89986559
LOC107384680,3.389655038,-0.171177008,0.887883179,-0.192792264,0.847121662,0.964196872
en1,1.54928892,-1.245484957,1.221463224,-1.019666358,0.307886722,NA
bbs4,48.69422101,-0.146801724,0.498998292,-0.294192839,0.768610552,0.943172955
LOC107389425,55.79516557,-0.012672833,0.368072527,-0.034430259,0.972534054,0.992983377
LOC107387293,467.6313528,-0.343400221,0.3780568,-0.908329703,0.363704054,0.764702192
foxk1,803.7469639,-0.471765281,0.323851698,-1.456732464,0.145190245,0.528430505
malrd1,5.007500879,-3.020813924,1.303959385,-2.316647251,0.020522955,0.179621442
smim5,446.0761886,-0.803552448,0.460259297,-1.745869021,0.080833714,0.395841872
rnf19b,170.0376419,-0.385663997,0.476850814,-0.80877286,0.41864581,0.798956472
stk16,266.5507185,-0.102755641,0.193835289,-0.530118337,0.596029886,0.884541443
mis18a,23.66721845,0.520674698,0.842686541,0.617874705,0.536657934,0.859137204
LOC107394634,1166.434714,0.445553949,0.249958748,1.782509923,0.074666115,0.378712684
LOC107380370,36.22259934,-0.068159809,0.562593754,-0.1211528,0.903570009,0.978623145
LOC107374830,2.327046269,1.881243484,1.194004708,1.575574595,0.115123875,NA
LOC107382350,47.2469241,-0.053267125,0.734180466,-0.072553176,0.942161688,0.987163721
LOC107396318,14.97588529,-0.082873469,0.903421317,-0.091732913,0.926910247,0.984866396
LOC107373122,369.3017374,-0.538612002,0.217202917,-2.479764134,0.013146932,0.135851627
setd6,295.4819782,-0.422371204,0.375427247,-1.125041422,0.260571482,0.675011471
LOC107374467,254.3491549,0.53109415,0.433519924,1.225074376,0.220547199,0.632294733
mis18bp1,17.91690987,-0.250989782,0.884581569,-0.283738426,0.776610845,0.945281679
dapl1,1478.66278,-0.012430235,0.418709478,-0.029687016,0.976316667,0.993557211
fam171a1,205.2814506,-0.141578258,0.266294226,-0.531661013,0.594960799,0.884106001
LOC107376589,66.33224679,0.241616925,0.41953311,0.575918609,0.564670197,0.872417176
fam45a,179.5816392,0.100916952,0.329597192,0.306182683,0.759465557,0.939992625
rrp1b,659.6848396,-0.461211298,0.482114614,-0.956642435,0.338747763,0.743532858
trpt1,205.2640855,0.132932565,0.33045197,0.402274997,0.687481653,0.916349652
LOC107397004,1.159936942,0.293344973,1.230327124,0.238428437,0.811548814,NA
LOC107373117,1.440819086,0.317851713,1.240798459,0.256167076,0.79782183,NA
LOC107375214,1.638805559,-1.05089246,1.080601352,-0.972507075,0.330798347,NA
slc12a8,71.71693942,0.294760576,0.409055519,0.72058819,0.471162922,0.827931913
rnf216,130.4545723,-0.032732129,0.301516637,-0.108558284,0.91355285,0.981379785
LOC107381314,4.526074775,0.717229884,0.77439086,0.926185885,0.354349387,0.757209367
best2,1.111516999,-0.591121984,1.255729358,-0.470739957,0.637826447,NA
pelo,4974.358402,-0.219353249,0.249033039,-0.880819868,0.378415324,0.773672377
LOC107388208,8.070671158,0.760518074,0.874019715,0.870138351,0.384224801,0.776930727
borcs6,292.0251302,0.069066077,0.23033811,0.299846504,0.764294241,0.9417573
LOC107373847,296.0339309,0.350545392,0.223827568,1.566140379,0.117315757,0.474881516
prr7,1.305058563,-0.279088429,1.293043412,-0.215838406,0.82911371,NA
LOC107383494,130.6731761,0.267804951,0.497417286,0.538390921,0.590307193,0.882637708
zc3h18,246.2170936,0.246494411,0.25719109,0.958409604,0.337856254,0.743283759
chtf8,180.8804103,0.281709673,0.564988213,0.498611593,0.618053037,0.891218707
plppr5,2.031202506,0.713047749,1.130658975,0.630647936,0.528270748,NA
myo1d,17.10047502,-0.127154329,0.575241157,-0.221045257,0.825057195,0.958736271
heg1,156.1002463,0.34112435,0.264810315,1.288183771,0.197682,0.60494486
dnajc13,303.4199167,0.180196227,0.301552118,0.597562464,0.550131916,0.866258692
LOC107388958,220.3746258,-0.244091568,0.363171973,-0.672110147,0.501513577,0.845282158
sftpb,2146.143949,-2.264186184,0.751555681,-3.012665914,0.002589638,0.044068586
LOC107393833,4.956082406,1.351700195,0.69992056,1.931219445,0.05345592,0.317014425
plxnc1,53.00670365,-1.493089049,1.189814367,-1.254892436,0.20951781,0.619298185
cdca8,101.434204,-0.58304705,0.587795014,-0.991922414,0.321235374,0.731587793
LOC107377448,5.618035142,-0.126921736,0.852654657,-0.148854798,0.88166821,0.973276518
ikzf4,87.06603592,-0.712816783,0.314211882,-2.268586341,0.023293493,0.194482727
LOC107380237,1.276250348,0.318334812,1.220255879,0.260875458,0.794188551,NA
nr2f1,322.161585,-0.765359886,0.28807383,-2.656818513,0.00788819,0.096000946
LOC107383803,15.06898547,-3.03818557,1.036820205,-2.930291631,0.00338644,0.053561789
chrna1,22.21842025,-0.300745131,0.465827563,-0.645614718,0.518528903,0.852971372
tsku,19247.16526,-0.639876734,0.225806124,-2.833743939,0.004600618,0.066594415
LOC107384230,4.647808469,0.658403057,0.981935864,0.670515337,0.502529333,0.845592155
LOC107394910,229.5766527,0.117961497,0.375411704,0.314219017,0.7533547,0.93761548
LOC107390154,6317.296039,0.117939945,0.378391917,0.311687274,0.7552782,0.93838236
LOC107383764,4741.731132,0.20484953,0.269292907,0.760694118,0.446839789,0.817346713
LOC107391096,28.94534227,0.353880695,0.437544809,0.808787323,0.418637489,0.798956472
jam3,38.76622783,-0.326151539,0.613652503,-0.531492233,0.595077722,0.884115473
LOC107376900,2.435304918,-2.425728812,1.162797761,-2.086114106,0.036968288,NA
shf,189.2024385,-0.879129429,0.35910443,-2.44811636,0.014360527,0.143378865
LOC107388857,85.23415101,-0.772604945,0.416902549,-1.853202735,0.063853306,0.348725779
LOC107389969,1.557612463,-0.669869025,1.093026037,-0.612857336,0.539970675,NA
LOC107392810,545.8508405,-0.064359819,0.236759892,-0.27183582,0.785748262,0.949388427
LOC107385351,49.82481147,-0.87392188,0.556865605,-1.569358696,0.116564383,0.473738169
pcdh17,42.04582237,1.419167168,0.596079022,2.380837295,0.017273339,0.162574764
LOC107392189,1.416064198,0.155976874,1.129767057,0.138061092,0.890192135,NA
tnip2,417.7679512,-2.933442525,1.262658216,-2.323227685,0.020166924,0.177809546
chfr,1276.002328,-0.32933043,0.396337567,-0.830934176,0.406010815,0.790229382
