Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107385006,59.81106997,-0.899916489,0.445470832,-2.02014683,0.04336816,0.589727151
LOC107383476,7944.093767,-0.142567502,0.146246897,-0.974841207,0.329639033,0.931664675
LOC107396379,1.588435785,-0.150375927,1.075444194,-0.139826806,0.888796833,NA
LOC107372361,174.0623769,-0.124549143,0.248583406,-0.501035627,0.61634605,0.974131991
LOC107385668,1756.639087,0.087153088,0.206954517,0.42112194,0.673666041,0.981697321
coasy,461.0962612,-0.183072189,0.301197559,-0.607814317,0.543310633,0.964845683
kif13b,16.37576564,1.027677042,0.746223417,1.377170722,0.168459472,0.838373098
tom1,489.3786109,-0.303921765,0.298166237,-1.019303084,0.3080591,0.92165935
LOC107391969,1.411478254,-0.105380499,1.294326627,-0.081417238,0.935110141,NA
LOC107379259,2.620611122,-0.423611838,1.054497831,-0.401719023,0.687890823,NA
LOC107376640,77.11747586,-0.537846542,0.372152679,-1.445230875,0.148393047,0.812149307
LOC107394487,5.166419744,-0.911693844,0.983945966,-0.926569014,0.354150349,0.940136495
LOC107395392,1.234885352,0.829620456,1.206768099,0.687472976,0.491784725,NA
LOC107372866,14.59114642,-2.259403599,0.927165563,-2.436893353,0.014814048,0.417870764
LOC107392319,1.225375739,-0.909781722,1.21589252,-0.748241894,0.454314266,NA
immp1l,72.52280622,0.034028942,0.373513673,0.091104942,0.927409206,0.999054741
gphn,2.61088034,-0.61231663,0.876579653,-0.698529367,0.484846199,NA
LOC107396339,14.38617662,-0.706198384,0.582153583,-1.213079169,0.225099553,0.876421941
LOC107383275,2171.244347,0.044706599,0.244319239,0.182984357,0.854810293,0.996780849
LOC107374148,3.522212627,1.729735709,1.17942428,1.466593269,0.142486732,0.808944414
ube2d3,2272.4502,-0.335607742,0.278962362,-1.203057429,0.228954098,0.877470497
LOC107375559,3.781474026,-0.930843241,0.885204678,-1.051557074,0.293002811,0.912699796
prss48,8028.381312,-0.582979726,0.514422209,-1.133270911,0.257100503,0.890563409
lsm14b,4.075848683,-0.537441885,0.892232506,-0.602356315,0.546936982,0.96653728
LOC107394599,1.898108723,0.793157878,1.106829172,0.716603698,0.473618662,NA
nop10,735.5613303,0.089586471,0.324456706,0.276112249,0.782461853,0.986806733
LOC107380166,27.72031497,0.832155918,0.479450041,1.735646777,0.08262631,0.707792137
LOC107376891,1.108932696,-0.434007733,1.256311225,-0.345461956,0.729747106,NA
LOC107372567,13.90628218,0.164699305,0.651267219,0.25289052,0.800352816,0.990859142
LOC107396667,54.35552659,-0.613324293,0.748985865,-0.818872988,0.412858883,0.952443862
