Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hdgf,884.7404572,0.184688762,0.195820064,0.943155456,0.345601394,0.652423618
cobl,1256.20815,0.218548702,0.280414849,0.779376351,0.43575805,0.727538203
kif6,2.582861159,1.258686354,1.100648542,1.143586082,0.252795336,NA
LOC107393942,1909.938762,0.150962839,0.306797129,0.492060794,0.622676367,0.841845936
LOC107381442,718.2296391,-0.043283323,0.368774665,-0.117370652,0.90656634,0.967740338
LOC107389261,265.032897,0.393835583,0.212324739,1.854873742,0.063614258,0.252043409
LOC107382179,1.501301222,0.696023798,1.211008943,0.574747034,0.565462393,NA
LOC107397227,10.50297811,-0.529434598,0.728958137,-0.726289441,0.467661351,0.749379464
hspa4l,43.44803009,-1.564784732,0.658777376,-2.375286081,0.017535353,0.108152536
LOC107385396,3.185426963,1.599947743,1.060074095,1.509279163,0.131227457,0.391849285
fam65c,63.88119467,0.057559156,0.401645237,0.143308449,0.886046584,0.95840958
acbd3,2307.663498,-0.587666619,0.551883981,-1.064837248,0.286949586,0.595327013
LOC107396282,3103.604608,-0.297641905,0.264185684,-1.126639037,0.259895127,0.565143505
LOC107376169,1.163893041,0.361899802,1.231761907,0.293806619,0.768905677,NA
LOC107396897,3.564557953,2.038095093,0.916084507,2.224789392,0.02609538,0.141622775
LOC107373898,1.317712171,0.401395207,1.225088844,0.327645794,0.743179493,NA
LOC107395365,4.7393104,1.43522464,0.844390024,1.699717666,0.089184045,0.31074936
LOC107395070,3.336888133,-3.24742632,1.183409523,-2.744127249,0.006067201,0.051013906
LOC107388868,3.443081326,0.237341253,0.988806291,0.240028057,0.810308506,0.929616126
LOC107375776,1.290131276,-0.238207474,1.312161454,-0.181538234,0.855945125,NA
pop1,167.4132231,-0.561826301,0.361174976,-1.555551568,0.119814763,0.369239186
LOC107393047,1.305981477,-0.23816943,1.30272024,-0.182824695,0.854935572,NA
LOC107383828,292.6529695,-0.175195754,0.376970201,-0.464746957,0.642112677,0.851868235
